orderid,unitno,modelid,evalcode,asample,prev,preva,oilchangelast,oilhours,PQI,Pb,Al,P,Ca,Zn,Cu,Si,Na,K,Mo,B,Fe,ST,V40,OXI,NIT,SUL
222,W,HME Model 1 type 3,B,0,1,1,1,217,0,0,2,963,2564,1072,3,4,9,7,0,1,17,26,110.8,13,7,20
223,W,HME Model 1 type 3,A,1,1,1,1,361,6,0,2,958,2553,1074,2,3,8,9,1,4,13,22,124.8,12,7,20
224,W,HME Model 1 type 3,A,1,2,0,1,277,0,0,1,968,2523,1022,2,2,9,7,2,3,14,24,104.2,13,7,20
225,W,HME Model 1 type 3,B,0,2,0,1,268,1,0,1,895,2379,1010,2,1,4,8,1,1,11,20,105.7,12,7,19
226,W,HME Model 1 type 3,B,0,1,1,1,131,0,0,1,940,2320,1008,2,2,9,14,2,1,8,18,108.2,12,5,19
227,W,HME Model 1 type 3,A,1,2,0,1,277,0,0,0,1013,2581,1095,0,3,2,4,1,0,4,1,112,12,4,19
228,W,HME Model 1 type 3,B,0,2,0,1,285,0,0,0,887,2407,1007,3,2,6,12,3,2,12,25,108.3,12,7,21
229,W,HME Model 1 type 3,B,0,4,0,1,324,0,1,1,935,2619,1068,5,3,10,28,3,0,21,32,107,13,7,21
230,W,HME Model 1 type 3,X,0,3,0,1,224,0,1,2,905,2484,1046,6,6,28,126,15,6,21,38,110,13,7,22
231,W,HME Model 1 type 3,C,0,2,0,1,234,2,0,2,988,2731,1113,5,6,15,69,8,5,26,39,117.6,14,8,21
232,W,HME Model 1 type 3,B,0,2,0,1,272,4,0,2,909,2484,1024,7,4,13,38,4,3,25,41,112.7,14,8,21
233,W,HME Model 1 type 3,B,0,1,1,1,218,1,0,1,898,2481,1029,1,2,9,10,1,0,16,27,110.4,13,7,21
234,W,HME Model 1 type 3,A,1,1,1,1,250,0,0,0,959,2608,1038,0,5,8,5,1,1,6,2,111.9,12,4,19
235,W,HME Model 1 type 3,A,1,3,0,1,210,0,0,1,832,2314,989,1,2,7,9,1,1,12,21,111.2,12,6,20
236,W,HME Model 1 type 3,C,0,3,0,1,192,0,0,1,989,2531,1061,0,2,14,10,1,1,9,16,105.5,13,6,20
237,W,HME Model 1 type 3,C,0,2,0,1,206,0,0,1,956,2558,1064,1,2,19,24,3,2,15,19,109.4,13,7,21
238,W,HME Model 1 type 3,B,0,3,0,0,455,0,1,0,849,2316,958,1,2,9,10,1,1,18,16,110.8,13,7,21
239,W,HME Model 1 type 3,C,0,3,0,1,234,0,1,0,934,2370,1037,1,2,7,12,2,1,18,23,108.3,13,7,20
241,X,HME Model 1 type 3,C,0,3,0,1,232,0,1,1,911,2429,1023,3,4,23,48,5,3,26,29,109.2,13,7,21
242,X,HME Model 1 type 3,C,0,3,0,0,390,0,0,2,898,2406,1030,25,4,22,42,5,2,29,32,109.5,15,8,22
243,X,HME Model 1 type 3,C,0,2,0,1,139,0,0,2,812,2129,897,1,5,13,23,2,0,11,15,109.4,13,6,21
244,X,HME Model 1 type 3,B,0,4,0,1,399,1,0,1,870,2367,1004,3,3,8,12,1,0,24,26,110,14,7,21
245,X,HME Model 1 type 3,X,0,4,0,1,239,0,0,1,862,2360,975,3,3,8,10,2,2,24,24,111.8,12,6,20
246,X,HME Model 1 type 3,X,0,1,1,1,243,0,1,1,841,2361,1016,8,4,8,10,2,4,29,35,114.1,13,7,21
247,X,HME Model 1 type 3,A,1,1,1,1,228,3,0,2,847,2289,973,4,3,6,5,1,2,23,29,111.1,14,7,22
248,X,HME Model 1 type 3,A,1,2,0,1,157,0,0,1,886,2376,1007,4,3,5,4,0,2,17,22,115.7,13,7,21
249,X,HME Model 1 type 3,B,0,3,0,1,210,0,0,1,869,2328,1011,4,3,7,5,0,0,18,24,112.3,15,8,22
250,X,HME Model 1 type 3,C,0,4,0,1,143,0,0,2,1004,2658,1093,5,6,20,28,3,6,21,18,115.1,15,7,22
251,X,HME Model 1 type 3,X,0,4,0,1,190,4,0,2,881,2239,976,11,5,50,110,13,3,22,26,111.8,13,7,22
252,X,HME Model 1 type 3,X,0,4,0,1,167,0,0,2,850,2232,945,32,8,72,150,19,5,29,17,114.7,15,7,22
253,X,HME Model 1 type 3,X,0,3,0,1,271,0,2,2,932,2449,1061,109,12,100,232,26,3,45,44,110.9,15,8,23
254,X,HME Model 1 type 3,C,0,3,0,1,340,1,3,2,958,2643,1110,399,6,14,36,4,5,48,44,112.7,12,7,20
255,X,HME Model 1 type 3,C,0,1,1,1,258,0,1,3,930,2587,1114,26,10,4,14,0,3,25,31,110.7,12,6,21
256,X,HME Model 1 type 3,A,1,4,0,1,241,0,0,1,1024,2562,1078,0,4,0,2,0,4,3,0,114.6,10,3,17
257,X,HME Model 1 type 3,X,0,2,0,1,191,4,3,1,944,2480,1029,205,6,69,153,19,7,10,6,108.2,11,4,19
258,X,HME Model 1 type 3,B,0,2,0,1,443,10,0,2,970,2437,1041,6,6,5,0,0,0,16,20,113.2,12,4,19
259,X,HME Model 1 type 3,B,0,3,0,1,148,0,1,2,904,2309,997,4,4,6,4,0,0,21,27,109.5,12,6,19
262,X,HME Model 1 type 3,B,0,2,0,1,290,7,2,4,925,2639,1131,2,2,0,2,0,0,22,12,106.8,13,7,20
263,X,HME Model 1 type 3,B,0,2,0,1,200,2,0,2,927,2471,1108,1,3,5,2,0,1,16,24,109.7,12,6,19
264,X,HME Model 1 type 3,B,0,3,0,1,262,5,0,2,923,2506,1044,2,1,4,1,0,2,24,27,107.2,11,6,19
265,X,HME Model 1 type 3,C,0,2,0,1,245,1,0,0,908,2536,1023,2,3,5,1,0,0,25,30,105.4,12,7,20
266,X,HME Model 1 type 3,B,0,3,0,1,192,0,0,2,980,2666,1105,2,3,2,2,0,2,19,24,107.7,12,6,19
267,X,HME Model 1 type 3,C,0,2,0,1,176,0,0,0,958,2602,1077,2,2,5,2,2,2,18,25,106.9,13,7,21
268,X,HME Model 1 type 3,B,0,2,0,1,224,0,0,1,949,2556,1081,3,2,6,2,0,0,21,20,106.5,10,6,19
269,X,HME Model 1 type 3,B,0,3,0,1,232,0,0,1,980,2517,1069,3,2,7,2,0,0,21,24,105.9,13,7,19
270,X,HME Model 1 type 3,C,0,3,0,1,194,3,0,0,970,2556,1042,3,3,11,3,0,0,19,20,110.5,12,6,20
271,X,HME Model 1 type 3,C,0,3,0,1,205,0,0,1,953,2601,1058,3,3,14,2,0,0,21,21,108.9,14,7,21
272,X,HME Model 1 type 3,C,0,3,0,1,178,0,2,1,967,2564,1052,6,5,20,3,1,0,26,24,101.7,13,7,21
563,Y,HME Model 1 type 1,X,0,4,0,0,493,0,2,2,997,2487,1050,241,21,225,461,72,10,22,13,110.7,19,9,25
564,Y,HME Model 1 type 1,X,0,4,0,1,257,0,1,0,964,2447,1049,111,10,132,270,38,5,13,10,108.1,15,7,21
565,Y,HME Model 1 type 1,X,0,4,0,0,599,0,2,2,880,2392,1054,215,9,88,184,27,4,24,14,107.2,16,8,23
566,Y,HME Model 1 type 1,X,0,2,0,1,321,2,0,2,862,2220,953,30,7,70,134,20,3,13,9,106.9,13,6,19
568,Z,HME Model 1 type 1,B,0,3,0,0,496,1,3,2,967,2719,1112,10,4,5,0,0,1,24,15,115,18,8,24
569,Z,HME Model 1 type 1,C,0,2,0,1,252,0,3,2,945,2761,1122,10,3,6,2,0,0,33,16,116.7,19,9,25
570,Z,HME Model 1 type 1,B,0,2,0,0,485,1,3,2,850,2432,996,46,3,5,1,0,0,29,22,115.3,18,8,24
571,Z,HME Model 1 type 1,B,0,3,0,1,249,0,2,2,922,2557,1060,50,2,3,2,0,0,12,11,111.9,14,6,20
572,Z,HME Model 1 type 1,C,0,2,0,1,294,1,4,2,869,2470,1019,167,4,4,3,0,0,16,8,116.4,14,6,20
573,Z,HME Model 1 type 1,B,0,2,0,1,254,1,3,3,909,2545,1067,101,4,3,3,0,2,16,8,112.6,14,7,20
574,Z,HME Model 1 type 1,B,0,2,0,0,476,3,3,2,747,2301,1002,293,3,11,21,3,2,20,20,115.8,15,8,22
575,Z,HME Model 1 type 1,B,0,2,0,1,235,0,1,2,913,2500,1062,57,1,3,2,0,2,11,10,113.6,13,6,21
576,Z,HME Model 1 type 1,B,0,2,0,0,483,0,3,2,889,2497,1062,228,2,3,2,0,4,22,19,111.5,15,8,23
577,Z,HME Model 1 type 1,B,0,2,0,1,202,0,1,0,871,2328,1011,8,2,8,3,0,4,7,5,110,15,7,21
579,Z,HME Model 1 type 1,A,1,2,0,0,276,1,1,1,863,2313,979,9,2,6,3,2,6,12,9,106.5,13,6,19
580,Z,HME Model 1 type 1,B,0,2,0,1,276,1,2,1,871,2260,968,9,2,5,2,2,6,11,9,106.5,13,6,19
581,Z,HME Model 1 type 1,B,0,2,0,0,445,1,3,2,908,2449,1056,23,2,9,2,0,2,24,15,104.1,13,6,20
582,Z,HME Model 1 type 1,B,0,3,0,1,249,0,2,1,917,2406,1075,16,1,9,3,0,2,15,10,106.6,13,6,21
584,Z,HME Model 1 type 1,C,0,2,0,1,452,0,2,1,938,2391,1068,30,3,17,4,2,5,11,6,104.2,12,5,18
585,Z,HME Model 1 type 1,B,0,2,0,0,402,0,0,2,929,2776,1033,3,3,7,4,0,0,23,18,114.2,13,7,20
586,Z,HME Model 1 type 1,B,0,2,0,1,221,0,2,0,949,2701,1068,3,3,3,6,0,1,14,13,112.1,12,6,20
587,Z,HME Model 1 type 1,B,0,2,0,0,518,1,0,3,914,2669,1005,5,4,9,20,3,2,27,22,117.8,14,7,20
588,Z,HME Model 1 type 1,B,0,1,1,1,254,0,0,2,915,2391,988,4,3,11,20,3,2,13,10,111.4,12,6,19
589,Z,HME Model 1 type 1,A,1,2,0,0,543,0,0,2,1003,2867,1123,2,2,1,5,2,1,16,16,115.7,13,6,20
591,Z,HME Model 1 type 1,A,1,4,0,0,523,0,0,2,920,2780,1058,4,3,3,7,0,0,16,18,114.8,13,7,20
592,Z,HME Model 1 type 1,X,0,4,0,1,242,0,0,2,908,2532,1044,23,5,18,52,6,2,12,15,110.5,13,6,21
594,Z,HME Model 1 type 1,C,0,3,0,1,214,0,0,2,925,2701,1052,28,4,6,24,2,2,19,15,113.9,11,5,18
595,Z,HME Model 1 type 1,C,0,4,0,0,465,1,0,3,921,2627,1018,52,10,17,86,5,3,20,14,115.5,12,6,19
596,Z,HME Model 1 type 1,X,0,3,0,1,238,0,1,3,1042,2601,1018,462,20,206,383,54,10,20,16,116.8,13,7,21
597,Z,HME Model 1 type 1,C,0,2,0,0,468,1,0,1,962,2799,1031,26,14,78,173,20,6,27,24,119.2,12,7,19
598,Z,HME Model 1 type 1,B,0,3,0,1,234,0,0,2,907,2564,1013,5,7,19,33,4,3,11,8,116,13,6,21
599,Z,HME Model 1 type 1,C,0,3,0,0,397,0,0,3,943,2617,1035,11,5,22,25,3,2,20,10,112.7,12,6,20
600,Z,HME Model 1 type 1,C,0,3,0,1,175,0,0,1,1005,2798,1089,10,4,22,27,4,2,15,10,110.5,14,6,21
601,Z,HME Model 1 type 1,C,0,3,0,0,434,3,0,3,979,2706,1124,24,5,28,33,4,3,29,19,109.4,16,8,23
602,Z,HME Model 1 type 1,C,0,2,0,1,246,0,1,2,984,2619,1086,17,3,12,13,2,0,20,14,111,14,7,20
605,E,HME Model 1 type 1,C,0,3,0,1,328,0,2,0,901,2537,1045,1,5,4,2,0,2,21,12,113.1,17,8,23
606,E,HME Model 1 type 1,C,0,3,0,0,568,0,8,2,1001,2885,1195,3,3,5,0,0,0,45,26,117.7,19,10,26
607,E,HME Model 1 type 1,C,0,2,0,1,281,5,1,2,933,2524,1062,2,2,5,1,2,0,21,17,111.4,18,9,23
608,E,HME Model 1 type 1,B,0,3,0,0,458,1,3,2,893,2639,1126,3,4,0,0,0,2,29,14,113.3,17,9,23
609,E,HME Model 1 type 1,C,0,3,0,1,234,0,1,2,886,2449,1045,2,2,1,3,0,2,20,11,116.7,18,9,24
610,E,HME Model 1 type 1,C,0,2,0,0,600,0,4,2,951,2762,1112,5,4,3,3,2,3,45,31,114.8,19,9,25
611,E,HME Model 1 type 1,B,0,2,0,1,301,1,0,1,851,2356,1023,2,2,1,0,0,2,15,11,115.4,15,7,21
612,E,HME Model 1 type 1,B,0,2,0,0,485,0,3,1,891,2561,1094,4,2,0,2,1,2,24,15,117.6,17,8,24
613,E,HME Model 1 type 1,B,0,3,0,1,256,0,1,2,1000,2664,1108,2,2,3,2,1,7,16,9,111.1,15,8,24
614,E,HME Model 1 type 1,C,0,3,0,0,458,3,4,2,934,2586,1098,5,2,3,2,2,4,30,20,115.5,19,9,26
615,E,HME Model 1 type 1,C,0,3,0,1,247,0,1,2,875,2353,1034,3,2,6,2,1,5,14,13,112.6,17,8,23
616,E,HME Model 1 type 1,C,0,3,0,0,410,0,2,2,919,2456,1027,4,2,4,2,0,1,19,14,111.8,16,8,23
617,E,HME Model 1 type 1,C,0,2,0,1,250,0,1,2,915,2596,1082,3,2,3,3,0,2,16,13,111,15,7,21
618,E,HME Model 1 type 1,B,0,1,1,0,458,0,1,2,993,2787,1123,5,4,6,3,1,6,21,13,110.8,16,8,22
619,E,HME Model 1 type 1,A,1,4,0,1,210,0,0,1,940,2434,1040,3,2,4,1,1,6,7,4,109.4,14,7,20
620,E,HME Model 1 type 1,X,0,4,0,0,430,0,16,3,1162,3328,1333,28,4,0,4,0,0,49,25,113.8,19,9,26
621,E,HME Model 1 type 1,X,0,3,0,1,245,0,6,2,985,2700,1088,15,2,4,2,0,2,26,15,107.2,16,8,23
622,E,HME Model 1 type 1,C,0,3,0,0,470,0,10,2,1005,2879,1181,14,3,3,3,0,2,33,19,111.2,17,8,23
623,E,HME Model 1 type 1,C,0,3,0,1,202,0,0,2,928,2656,1088,2,2,1,2,0,1,21,14,109.3,16,8,22
624,E,HME Model 1 type 1,C,0,3,0,0,415,0,1,3,1089,3132,1260,3,0,0,0,0,1,41,23,110.2,18,10,24
625,E,HME Model 1 type 1,C,0,3,0,1,174,2,0,2,926,2537,1088,2,1,0,0,1,0,26,18,108.6,16,8,23
627,E,HME Model 1 type 1,C,0,3,0,1,292,0,1,2,904,2515,1057,2,2,1,3,2,2,25,17,109.3,15,8,24
628,E,HME Model 1 type 1,C,0,2,0,0,562,0,3,3,986,2915,1169,4,3,0,1,0,0,46,33,106,18,9,25
629,E,HME Model 1 type 1,B,0,3,0,1,245,0,1,2,936,2532,1058,2,2,0,5,0,0,14,12,104.9,13,7,20
630,E,HME Model 1 type 1,C,0,2,0,0,430,0,0,3,956,2733,1111,2,3,0,3,0,1,29,19,104,14,7,22
631,E,HME Model 1 type 1,B,0,3,0,1,262,3,0,2,914,2485,995,2,1,2,2,0,1,17,12,103.7,11,6,19
632,E,HME Model 1 type 1,C,0,2,0,0,490,0,0,2,948,2662,1063,4,6,1,3,2,2,43,12,99.4,13,6,20
633,E,HME Model 1 type 1,B,0,3,0,1,219,1,0,2,880,2491,1029,2,2,0,3,1,2,13,13,106.8,12,5,18
634,E,HME Model 1 type 1,C,0,1,1,0,451,3,1,3,912,2559,1046,4,2,2,2,0,1,26,17,103.9,11,6,19
635,E,HME Model 1 type 1,A,1,2,0,1,203,0,0,2,874,2341,985,3,2,3,2,0,0,9,7,103.4,12,5,19
636,E,HME Model 1 type 1,B,0,4,0,1,442,0,2,2,991,2447,1036,11,3,4,6,0,0,15,9,100.8,13,6,21
637,E,HME Model 1 type 1,X,0,3,0,0,432,0,3,0,1039,2732,1077,18,19,199,325,52,7,19,7,106.1,12,6,19
638,E,HME Model 1 type 1,C,0,3,0,1,202,0,0,2,1029,2604,1081,3,9,65,122,15,6,9,5,107.2,13,6,20
639,E,HME Model 1 type 1,C,0,1,1,0,440,1,1,3,919,2484,1038,5,3,21,33,4,3,19,9,103.5,13,7,19
640,E,HME Model 1 type 1,A,1,1,1,1,221,0,1,0,940,2512,1073,3,1,9,9,1,1,9,6,105.3,13,6,19
642,F,HME Model 1 type 1,A,1,2,0,1,253,1,1,1,857,2437,984,19,3,6,1,0,1,10,5,110.7,14,7,21
643,F,HME Model 1 type 1,B,0,3,0,0,532,0,2,0,778,2329,980,34,3,4,2,0,0,18,13,109.9,15,7,21
644,F,HME Model 1 type 1,C,0,2,0,1,272,0,1,2,885,2418,1020,22,2,6,3,0,0,12,5,110.2,14,7,21
645,F,HME Model 1 type 1,B,0,2,0,0,576,0,0,2,920,2589,1073,27,3,2,2,0,0,16,12,107.2,13,7,20
646,F,HME Model 1 type 1,B,0,1,1,1,302,0,1,2,841,2349,976,13,2,3,2,0,0,9,7,109.1,12,5,19
647,F,HME Model 1 type 1,A,1,1,1,0,483,1,0,1,810,2200,898,0,5,6,2,0,0,2,0,116.1,12,4,19
648,F,HME Model 1 type 1,A,1,1,1,1,215,6,0,2,816,2113,927,1,4,0,3,0,3,7,3,114.8,14,6,20
649,F,HME Model 1 type 1,A,1,2,0,0,227,6,0,1,769,1987,903,0,4,1,1,0,2,3,0,116.1,12,4,18
652,F,HME Model 1 type 1,A,1,1,1,1,245,0,0,2,871,2390,1001,1,2,1,2,0,5,8,7,109.9,16,7,21
653,F,HME Model 1 type 1,A,1,1,1,0,442,0,0,0,850,2077,944,0,4,6,2,1,3,3,0,116.5,14,4,20
654,F,HME Model 1 type 1,A,1,2,0,1,205,0,0,1,888,2245,972,0,2,4,2,0,1,3,0,115.7,12,4,19
655,F,HME Model 1 type 1,B,0,1,1,0,547,0,3,3,974,2754,1123,3,2,4,2,1,2,21,15,107.2,16,8,22
656,F,HME Model 1 type 1,A,1,1,1,1,289,0,1,2,937,2540,1029,1,2,4,2,0,2,11,7,108.9,14,7,19
657,F,HME Model 1 type 1,A,1,1,1,0,488,0,0,2,960,2719,1117,2,3,3,3,0,0,17,14,109.5,15,7,21
658,F,HME Model 1 type 1,A,1,1,1,1,250,0,0,2,999,2651,1107,2,2,0,3,0,1,10,7,108.6,13,6,19
659,F,HME Model 1 type 1,A,1,2,0,0,515,0,0,1,959,2559,1073,0,2,1,2,0,0,8,5,110.1,12,5,19
660,F,HME Model 1 type 1,B,0,2,0,1,265,0,1,2,1000,2767,1142,2,1,0,0,1,0,12,12,109.7,14,7,21
661,F,HME Model 1 type 1,B,0,1,1,0,566,0,3,2,895,2555,1026,2,3,0,2,0,0,24,19,111.5,15,8,23
662,F,HME Model 1 type 1,A,1,1,1,1,282,0,0,2,953,2714,1107,0,2,0,0,0,0,11,14,109,14,7,21
663,F,HME Model 1 type 1,A,1,1,1,0,421,0,1,2,875,2572,1053,1,3,0,3,0,0,13,14,107.6,14,7,20
664,F,HME Model 1 type 1,A,1,2,0,1,200,0,0,2,923,2524,1046,0,2,0,2,0,1,7,6,108.6,12,6,20
665,F,HME Model 1 type 1,B,0,3,0,0,490,1,1,0,919,2716,1099,1,2,3,2,1,1,22,21,110,14,8,22
666,F,HME Model 1 type 1,C,0,2,0,1,252,0,0,0,959,2644,1061,0,6,0,3,1,1,12,44,108.2,12,6,20
667,F,HME Model 1 type 1,B,0,2,0,0,478,1,2,1,951,2706,1061,1,2,5,6,1,0,21,24,109.4,14,8,20
668,F,HME Model 1 type 1,B,0,2,0,1,217,0,1,2,929,2559,1034,0,2,2,1,0,0,10,7,114.5,11,6,19
669,F,HME Model 1 type 1,B,0,2,0,0,487,1,2,0,955,2708,1079,1,2,7,2,0,0,25,22,113,16,8,23
670,F,HME Model 1 type 1,B,0,1,1,1,222,0,1,2,903,2567,1034,0,3,7,2,0,0,12,11,108.1,14,7,23
671,F,HME Model 1 type 1,A,1,1,1,0,472,0,1,1,963,2766,1087,1,2,11,2,0,0,19,16,109.1,15,8,23
672,F,HME Model 1 type 1,A,1,2,0,1,259,0,1,2,842,2429,1021,1,2,5,2,0,1,9,10,109.2,14,7,21
673,F,HME Model 1 type 1,B,0,2,0,0,371,0,1,2,946,2633,1097,1,2,12,2,0,1,15,12,107.3,13,7,20
674,F,HME Model 1 type 1,B,0,2,0,1,198,0,0,1,949,2583,1103,0,1,13,0,0,1,8,6,108.7,14,6,21
675,F,HME Model 1 type 1,B,0,1,1,0,485,0,1,2,930,2507,1068,1,2,8,2,0,1,18,17,106.3,16,8,22
676,F,HME Model 1 type 1,A,1,2,0,1,258,0,1,0,943,2556,1092,1,1,7,2,0,1,10,12,106.4,14,7,20
678,G,HME Model 1 type 1,A,1,2,0,1,175,0,0,1,869,2305,976,4,2,5,2,0,1,6,2,112.6,14,6,20
679,G,HME Model 1 type 1,B,0,2,0,0,538,0,1,0,859,2422,1006,7,2,4,2,0,0,14,20,115.4,17,8,23
680,G,HME Model 1 type 1,B,0,1,1,1,203,0,0,1,901,2475,1037,3,2,5,2,0,0,8,8,113.3,15,7,20
681,G,HME Model 1 type 1,A,1,1,1,0,574,0,0,1,765,2345,940,12,2,2,3,0,0,16,26,118.2,15,8,21
682,G,HME Model 1 type 1,A,1,1,1,1,312,0,0,2,870,2439,1009,13,2,4,3,0,1,9,13,114.5,15,7,22
683,G,HME Model 1 type 1,A,1,1,1,0,467,0,1,1,891,2533,1055,10,2,3,4,0,1,14,19,115.4,13,7,20
684,G,HME Model 1 type 1,A,1,2,0,1,247,0,0,1,828,2341,952,4,5,6,2,0,0,9,16,114.5,13,6,20
685,G,HME Model 1 type 1,B,0,1,1,1,225,4,0,2,807,2271,962,8,2,0,2,0,3,16,21,117.6,16,8,22
686,G,HME Model 1 type 1,A,1,2,0,1,274,0,0,2,852,2338,980,4,1,3,2,1,3,10,12,115.3,14,7,21
687,G,HME Model 1 type 1,B,0,2,0,0,419,1,0,2,878,2503,1024,8,3,4,2,0,3,16,18,118.3,14,7,22
688,G,HME Model 1 type 1,B,0,2,0,1,259,1,0,2,885,2343,1002,5,2,2,3,0,3,10,13,116.1,14,6,20
689,G,HME Model 1 type 1,B,0,2,0,0,433,1,1,2,864,2356,1004,14,2,3,3,1,5,13,18,116.9,15,7,21
690,G,HME Model 1 type 1,B,0,2,0,1,205,0,0,1,929,2620,1050,13,2,5,1,1,6,11,10,118.7,13,7,22
691,G,HME Model 1 type 1,B,0,3,0,0,515,0,3,2,836,2464,1069,43,2,6,3,0,1,20,33,119.3,18,9,24
692,G,HME Model 1 type 1,C,0,2,0,1,250,41,1,1,850,2236,982,9,1,5,2,0,0,9,6,115.9,12,7,16
693,G,HME Model 1 type 1,B,0,2,0,0,525,0,2,2,897,2494,1053,29,3,5,3,0,2,19,23,115.5,15,8,22
694,G,HME Model 1 type 1,B,0,2,0,1,277,0,1,1,943,2521,1091,17,1,5,2,0,3,12,15,114.7,15,7,22
695,G,HME Model 1 type 1,B,0,2,0,0,561,0,4,2,940,2723,1122,64,3,1,2,2,7,24,26,99,15,7,20
696,G,HME Model 1 type 1,B,0,2,0,1,276,0,0,2,924,2524,1079,11,2,1,2,1,6,10,11,113.4,14,7,21
697,G,HME Model 1 type 1,B,0,2,0,0,529,0,2,3,938,2707,1117,24,2,4,2,0,2,17,23,113.2,16,8,22
698,G,HME Model 1 type 1,B,0,2,0,1,244,0,0,2,923,2434,1018,6,2,1,3,0,3,8,10,109.7,13,6,20
699,G,HME Model 1 type 1,B,0,2,0,0,513,0,2,3,993,2803,1145,14,2,1,2,0,2,18,18,108.3,14,7,21
700,G,HME Model 1 type 1,B,0,2,0,1,267,0,0,2,995,2644,1098,8,2,2,2,0,1,12,11,110.6,14,7,22
701,G,HME Model 1 type 1,B,0,1,1,0,475,0,1,2,913,2438,1026,10,1,4,2,0,1,14,21,109.7,14,7,21
702,G,HME Model 1 type 1,A,1,1,1,1,202,0,0,1,946,2385,1005,4,2,4,4,0,0,6,7,109.8,13,6,20
703,G,HME Model 1 type 1,A,1,2,0,0,486,0,0,2,865,2477,1021,14,2,4,4,2,2,14,19,118.4,13,7,20
704,G,HME Model 1 type 1,B,0,3,0,1,238,0,0,2,876,2469,1027,12,2,3,5,2,2,9,9,111.4,12,6,21
705,G,HME Model 1 type 1,C,0,3,0,0,425,7,1,2,946,2751,1111,80,2,0,0,0,0,18,20,109.6,14,7,21
706,G,HME Model 1 type 1,C,0,3,0,1,150,3,0,2,895,2419,1079,84,2,2,2,0,1,10,14,113.3,12,6,19
707,G,HME Model 1 type 1,C,0,3,0,0,522,1,1,3,916,2654,1087,321,2,2,2,1,2,25,30,110.9,14,7,21
708,G,HME Model 1 type 1,C,0,3,0,1,256,4,1,1,928,2609,1064,141,3,2,2,1,1,18,21,110.8,13,7,21
709,G,HME Model 1 type 1,C,0,2,0,0,482,0,1,3,979,2851,1141,338,3,0,1,2,3,28,35,111.5,15,8,21
710,G,HME Model 1 type 1,B,0,3,0,1,231,0,1,2,893,2531,1041,24,2,2,2,1,2,13,18,112.7,13,6,20
711,G,HME Model 1 type 1,C,0,2,0,0,485,0,1,2,908,2582,1055,44,2,4,2,0,0,18,20,109.4,12,6,19
712,G,HME Model 1 type 1,B,0,2,0,1,271,0,0,0,874,2583,990,15,2,4,2,0,0,10,15,108.6,12,6,18
713,G,HME Model 1 type 1,B,0,2,0,0,464,0,1,2,888,2588,1052,33,2,7,2,0,0,18,24,109.9,14,7,22
714,G,HME Model 1 type 1,B,0,3,0,1,235,0,0,0,933,2655,1060,15,2,8,2,1,1,10,12,109.1,12,6,19
715,G,HME Model 1 type 1,C,0,2,0,0,425,0,1,2,817,2355,990,25,2,5,3,0,1,15,20,109.8,14,7,21
716,G,HME Model 1 type 1,B,0,3,0,1,150,0,0,0,989,2602,1058,10,2,11,4,1,0,7,4,109,11,5,18
721,H,HME Model 1 type 1,B,0,3,0,0,486,0,0,0,841,2165,949,1,4,4,2,0,0,2,0,111.4,12,4,18
722,H,HME Model 1 type 1,C,0,3,0,1,269,2,1,2,842,2321,943,2,3,7,8,1,0,19,26,107,18,9,23
723,H,HME Model 1 type 1,C,0,2,0,0,511,0,4,2,954,2683,1078,3,4,10,15,2,5,30,30,111.4,17,9,23
724,H,HME Model 1 type 1,B,0,3,0,1,228,0,0,1,920,2474,1037,3,3,7,11,2,2,14,12,104.4,15,7,20
725,H,HME Model 1 type 1,C,0,2,0,0,507,1,2,2,909,2720,1049,3,6,13,23,3,1,35,41,116.1,19,10,25
726,H,HME Model 1 type 1,B,0,3,0,1,236,1,0,2,839,2335,1005,2,3,7,10,2,3,15,17,114.9,15,8,21
727,H,HME Model 1 type 1,C,0,3,0,0,389,0,0,2,848,2555,1039,9,5,14,41,5,3,22,24,118.1,15,8,22
728,H,HME Model 1 type 1,C,0,2,0,1,162,1,0,1,891,2435,1015,1,4,17,35,4,3,11,9,115.4,13,6,20
729,H,HME Model 1 type 1,B,0,2,0,0,434,0,2,2,918,2459,1022,3,5,18,37,6,5,28,27,117.9,17,9,23
730,H,HME Model 1 type 1,B,0,3,0,1,250,0,2,2,898,2398,995,1,4,10,25,4,5,16,17,115.5,15,8,21
731,H,HME Model 1 type 1,C,0,2,0,0,525,0,5,2,960,2833,1085,3,7,26,56,8,6,32,33,123,18,10,26
732,H,HME Model 1 type 1,B,0,3,0,1,249,2,1,2,848,2282,995,1,3,11,16,3,4,12,20,114,15,8,21
733,H,HME Model 1 type 1,C,0,3,0,0,433,3,6,2,921,2564,1051,3,6,18,32,4,3,35,31,119.5,14,10,20
734,H,HME Model 1 type 1,C,0,3,0,1,220,0,1,2,926,2531,1048,1,4,12,19,3,2,19,15,112.4,14,7,20
735,H,HME Model 1 type 1,C,0,3,0,0,514,0,6,2,916,2760,1090,3,6,17,33,4,4,46,37,112.1,18,10,25
736,H,HME Model 1 type 1,C,0,3,0,1,273,3,0,2,952,2668,1068,1,4,5,21,3,4,27,21,110.4,14,7,20
737,H,HME Model 1 type 1,C,0,3,0,0,496,0,2,2,964,2702,1093,2,3,11,19,3,2,32,30,112,17,9,23
